ContactID,FriendlyName,Text,StartTime,EndTime,Duration,EntityType,Description,RegulatoryCompliance,SpeakerID,SpeakerName
16363788,null,redactacct,393.9,395.6,1.7,null,null,null,1,Agent
16363788,null,redactacct,395.6,399.1,3.5,null,null,null,1,Agent
16363789,null,redactcc,520.2,521.4,1.2,null,null,null,1,Agent
16363789,null,redactcc,536.1,537.2,1.1,null,null,null,1,Agent
16363789,null,redactcc,633.9,635.1,1.2,null,null,null,1,Agent
16363790,null,redactcc,171,171.6,0.6,null,null,null,1,Agent
16363790,null,redactcvvwd,411.5,415.9,4.4,null,null,null,1,Agent
16363790,null,redactcvvwd,439.1,445.4,6.3,null,null,null,1,Agent
16363790,null,redactexpwd,465.6,478.2,12.6,null,null,null,1,Agent
16363790,null,redactcc,622.5,623.6,1.1,null,null,null,1,Agent
16363791,null,redactcc,261.8,262.9,1.1,null,null,null,1,Agent
16363791,null,redactcc,263.4,266.1,2.7,null,null,null,1,Agent
16363792,null,redactcc,467.3,469,1.7,null,null,null,1,Agent
16363793,null,redactcc,107.4,109,1.6,null,null,null,1,Agent
16363793,null,redactcc,109.4,111,1.6,null,null,null,1,Agent
16363795,null,redactcc,170.8,175.1,4.3,null,null,null,1,Agent
16363798,null,redactcc,585.4,586,0.6,null,null,null,1,Agent
16363798,null,redactcc,587.7,588.4,0.7,null,null,null,1,Agent
16363800,null,redactexpwd,819.2,821.3,2.1,null,null,null,1,Agent
16363800,null,redactcc,832,833.9,1.9,null,null,null,1,Agent
16363800,null,redactcc,984.7,986,1.3,null,null,null,1,Agent
16363802,null,redactcc,103.9,105.3,1.4,null,null,null,1,Agent
16363802,null,redactcc,123.7,126.1,2.4,null,null,null,1,Agent
16363802,null,redactcvvwd,161.9,163.8,1.9,null,null,null,1,Agent
16363803,null,redactcc,143.8,144.7,0.9,null,null,null,1,Agent
16363803,null,redactcc,162.3,164,1.7,null,null,null,1,Agent
16363805,null,redactccback,39.3,40,0.7,null,null,null,1,Agent
16363805,null,redactexp,55.6,57.2,1.6,null,null,null,1,Agent
16363805,null,redactexp,57.2,57.6,0.4,null,null,null,1,Agent
16363805,null,redactexp,57.6,58,0.4,null,null,null,1,Agent
16363805,null,redactexp,58,58.3,0.3,null,null,null,1,Agent
16363805,null,redactssn,248,250.2,2.2,null,null,null,1,Agent
16363805,null,redactssn,257.4,258.6,1.2,null,null,null,1,Agent
16363805,null,redactcc,445.3,446.8,1.5,null,null,null,1,Agent
16363808,null,redactcc,451.5,453.3,1.8,null,null,null,1,Agent
16363809,null,redactcc,337.3,338.6,1.3,null,null,null,1,Agent
16363810,null,redactexp,51,51.3,0.3,null,null,null,1,Agent
16363810,null,redactccback,52.1,53.3,1.2,null,null,null,1,Agent
16363810,null,redactexp,58,58.9,0.9,null,null,null,1,Agent
16363810,null,redactexp,59.8,60,0.2,null,null,null,1,Agent
16363810,null,redactexp,60.6,61.2,0.6,null,null,null,1,Agent
16363810,null,redactcc,433.3,435.5,2.2,null,null,null,1,Agent
